업종명,업소명,소재지(도로명),소재지(지번),소재지전화
일반음식점,남썬치킨 부산역점,"부산광역시 동구 중앙대로221번길 13, 1층 (초량동)",부산광역시 동구 초량동 394-3 ,051-441-1172
일반음식점,서우디엔씨,부산광역시 동구 진성로9번길 13 (수정동),부산광역시 동구 수정동 1-119 ,
일반음식점,중화각,,부산광역시 동구 수정동 1056-0 ,051-467-1312
일반음식점,덕화원만두집,부산광역시 동구 진성로 8-1 (수정동),부산광역시 동구 수정동 1-105 ,051-441-8807
일반음식점,동흥,부산광역시 동구 중앙대로251번길 8-1 (초량동),부산광역시 동구 초량동 170-4 ,051-467-0816
일반음식점,원향재,"부산광역시 동구 대영로243번길 60, 1~3층 (초량동)",부산광역시 동구 초량동 561-2 ,051-467-4868
일반음식점,신발원,부산광역시 동구 대영로243번길 62 (초량동),부산광역시 동구 초량동 561-1 ,051-467-0177
일반음식점,산청한방돼지국밥,부산광역시 동구 진성로28번길 7 (좌천동),부산광역시 동구 좌천동 693-19 ,051-644-9988
일반음식점,철마한우곰탕,부산광역시 동구 고관로 164 (좌천동),부산광역시 동구 좌천동 668-2 ,051-723-0723
일반음식점,울산갈비,부산광역시 동구 초량중로 88 (초량동),부산광역시 동구 초량동 197-13 ,051-465-8003
일반음식점,건화갈비탕,부산광역시 동구 초량로 14-1 (초량동),부산광역시 동구 초량동 174-15 ,051-468-6243
일반음식점,통영숯불장어,부산광역시 동구 범일로90번길 6-1 (범일동),부산광역시 동구 범일동 626-2 ,051-631-7878
일반음식점,송원감자탕,,부산광역시 동구 초량동 207-0 ,051-464-0339
일반음식점,장성향,부산광역시 동구 대영로243번길 29 (초량동),부산광역시 동구 초량동 609-1 ,051-467-4496
일반음식점,금오리,부산광역시 동구 초량로14번길 8 (초량동),부산광역시 동구 초량동 178-2 ,051-467-8758
일반음식점,늘보고방,부산광역시 동구 중앙대로251번길 8-5 (초량동),부산광역시 동구 초량동 170-1 ,051-468-8183
일반음식점,신전떡볶이,부산광역시 동구 초량로 18-1 (초량동),부산광역시 동구 초량동 174-1 ,051-467-7088
일반음식점,마라톤집,,부산광역시 동구 범일동 633-37 ,051-631-7895
일반음식점,한양각,부산광역시 동구 중앙대로226번길 7-6 (초량동),부산광역시 동구 초량동 1196-9 ,051-465-2001
일반음식점,삼생원,부산광역시 동구 대영로243번길 56 (초량동),부산광역시 동구 초량동 563-0 ,051-468-4881
일반음식점,오뚜기식당,"부산광역시 동구 수정중로11번길 12, 1층 (수정동)",부산광역시 동구 수정동 797-34 ,
일반음식점,초량골목갈비 원조 산수갑산,부산광역시 동구 초량로 17-3 (초량동),부산광역시 동구 초량동 197-23 ,051-463-1722
일반음식점,오븐에꾸운닭,부산광역시 동구 초량로 17 (초량동),부산광역시 동구 초량동 197-17 ,051-468-2427
일반음식점,왕가,부산광역시 동구 고관로 67-1 (수정동),부산광역시 동구 수정동 336-6 ,051-468-9696
